Mkt Al	Orig	Dest	Miles	Mon	Tue	Wed	Thu	Fri	Sat	Sun	Ops/Week	Seats	Seats/ Dep	ASMs
2O	ADQ	ALZ	89	0	1	0	0	0	0	0	1	30	30	2670
2O	ADQ	AOS	54	0	0	1	0	0	0	0	1	30	30	1620
2O	ADQ	KKB	31	0	0	0	0	1	0	0	1	30	30	930
2O	ADQ	KMY	80	0	1	0	0	0	0	0	1	30	30	2400
2O	ADQ	KOY	77	0	1	0	0	0	0	0	1	30	30	2310
2O	ADQ	KPR	47	0	0	0	0	1	0	0	1	30	30	1410
2O	ADQ	KPY	24	0	0	1	0	0	0	0	1	30	30	720
2O	ADQ	KWP	39	0	0	1	0	0	0	0	1	30	30	1170
2O	ADQ	KZB	49	0	0	1	0	0	0	0	1	30	30	1470
2O	ADQ	SYB	29	0	0	0	0	1	0	0	1	30	30	870
2O	ADQ	UGI	39	0	0	1	0	0	0	0	1	30	30	1170
2T	BOS	BDA	772	1	0	1	1	1	0	1	5	480	96	370560
2T	BWI	BDA	820	1	0	0	0	1	0	0	2	140	70	114800
2T	EWR	BDA	779	0	0	0	1	0	0	1	2	192	96	149568
2T	HPN	BDA	781	0	1	0	1	0	0	1	3	288	96	224928
2T	LGA	BDA	772	0	0	1	0	0	1	0	2	140	70	108080
2T	MCO	BDA	1028	0	0	1	0	0	1	0	2	192	96	197376
2T	RDU	BDA	842	1	0	0	0	1	0	0	2	140	70	117880
2T	RIC	BDA	799	0	0	1	0	0	1	0	2	140	70	111860
4B	BOS	MSS	262	3	3	3	3	3	3	3	21	168	8	44016
4B	MSS	BOS	262	3	3	3	3	3	3	3	21	168	8	44016
4B	PDT	PDX	182	3	3	3	3	3	3	3	21	168	8	30576
4B	PDX	PDT	182	3	3	3	3	3	3	3	21	168	8	30576
4W	AKP	FAI	254	0	0	1	1	1	0	0	3	30	10	7620
4W	BTT	AKP	85	0	0	1	1	1	0	0	3	30	10	2550
4W	CEM	IRC	27	1	1	1	1	1	0	0	5	50	10	1350
4W	CIK	FYU	41	0	0	1	1	1	0	0	3	30	10	1230
4W	FAI	BTT	179	0	0	1	1	1	0	0	3	30	10	5370
4W	FAI	CEM	104	1	1	1	1	1	0	0	5	50	10	5200
4W	FAI	FYU	144	0	0	2	2	2	0	0	6	60	10	8640
