Mkt Al,Orig,Dest,Miles,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Ops/Week,Seats,Seats/ Dep,ASMs
2O,ADQ,ALZ,89,0,1,0,0,0,0,0,1,30,30.0,"2,670"
2O,ADQ,AOS,54,0,0,1,0,0,0,0,1,30,30.0,"1,620"
2O,ADQ,KKB,31,0,0,0,0,1,0,0,1,30,30.0,930
2O,ADQ,KMY,80,0,1,0,0,0,0,0,1,30,30.0,"2,400"
2O,ADQ,KOY,77,0,1,0,0,0,0,0,1,30,30.0,"2,310"
2O,ADQ,KPR,47,0,0,0,0,1,0,0,1,30,30.0,"1,410"
2O,ADQ,KPY,24,0,0,1,0,0,0,0,1,30,30.0,720
2O,ADQ,KWP,39,0,0,1,0,0,0,0,1,30,30.0,"1,170"
2O,ADQ,KZB,49,0,0,1,0,0,0,0,1,30,30.0,"1,470"
2O,ADQ,SYB,29,0,0,0,0,1,0,0,1,30,30.0,870
2O,ADQ,UGI,39,0,0,1,0,0,0,0,1,30,30.0,"1,170"
2T,BOS,BDA,772,1,0,1,1,1,0,1,5,480,96.0,"370,560"
2T,BWI,BDA,820,1,0,0,0,1,0,0,2,140,70.0,"114,800"
2T,EWR,BDA,779,0,0,0,1,0,0,1,2,192,96.0,"149,568"
2T,HPN,BDA,781,0,1,0,1,0,0,1,3,288,96.0,"224,928"
2T,LGA,BDA,772,0,0,1,0,0,1,0,2,140,70.0,"108,080"
2T,MCO,BDA,"1,028",0,0,1,0,0,1,0,2,192,96.0,"197,376"
2T,RDU,BDA,842,1,0,0,0,1,0,0,2,140,70.0,"117,880"
2T,RIC,BDA,799,0,0,1,0,0,1,0,2,140,70.0,"111,860"
4B,BOS,MSS,262,3,3,3,3,3,3,3,21,168,8.0,"44,016"
4B,MSS,BOS,262,3,3,3,3,3,3,3,21,168,8.0,"44,016"
4B,PDT,PDX,182,3,3,3,3,3,3,3,21,168,8.0,"30,576"
4B,PDX,PDT,182,3,3,3,3,3,3,3,21,168,8.0,"30,576"
